owner,investor_label_lvl1,investor_label_lvl2,sos_name,sos_id,registry_url
A R P 2014-1 BORROWER LLC,INVESTOR,AMERICAN HOMES 4 RENT,ARP 2014 1 BORROWER LLC,1389907,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10576777
AMERICAN HOMES 4 RENT PROPERTIES FIVE LL,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FIVE LLC,1313038,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10231604
AMERICAN HOMES 4 RENT PROPERTIES ONE LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES ONE LLC,1294225,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10143042
AMERICAN HOMES 4 RENT PROPERTIES THREE LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES THREE LLC,1300441,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10168191
AH4R I INC,INVESTOR,AMERICAN HOMES 4 RENT,AH4R I NC LLC,1272245,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10056408
AH4R I INC LLC,INVESTOR,AMERICAN HOMES 4 RENT,AH4R I NC LLC,1272245,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10056408
AH4R I NC LLC,INVESTOR,AMERICAN HOMES 4 RENT,AH4R I NC LLC,1272245,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10056408
AH4R NC 11 LLC,INVESTOR,AMERICAN HOMES 4 RENT,AH4R NC 11 LLC,1269085,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10043604
AH4R-NC 3 LLC,INVESTOR,AMERICAN HOMES 4 RENT,AH4R NC 3 LLC,1258520,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10001180
AH4R NC LLC,INVESTOR,AMERICAN HOMES 4 RENT,AH4R NC LLC,1247550,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=9949967
AH4R-NC11 LLC,INVESTOR,AMERICAN HOMES 4 RENT,AH4R NC 11 LLC,1269085,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10043604
AH4R NC3,INVESTOR,AMERICAN HOMES 4 RENT,AH4R NC 3 LLC,1258520,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10001180
AH4R NC3 LLC,INVESTOR,AMERICAN HOMES 4 RENT,AH4R NC 3 LLC,1258520,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10001180
AHI BORROWER LP,INVESTOR,AMERICAN HOMES 4 RENT,AHI BORROWER GP LLC,1943442,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=15787169
AHM 2015-1 BORROWER LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMH 2015 1 BORROWER LLC,1423821,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10714440
AIMO NC LLC,INVESTOR,AALTO INVEST UK,AINO NC LLC,1423132,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10711882
ALTO ASSET COMPANY 1 LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),ALTO ASSET COMPANY 1 LLC,1897521,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=15533105
ALTO ASSET COMPANY 2 LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),ALTO ASSET COMPANY 2 LLC,1916442,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=15633730
RJ AMERICAN HOMES 4 RENT ONE LLC,INVESTOR,AMERICAN HOMES 4 RENT,RJ AMERICAN HOMES 4 RENT ONE LLC,1278114,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10079048
ALTO ASSET COMPANY 3 LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),ALTO ASSET COMPANY 3 LLC,1544465,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12395835
AMAMH 2014-3 BORROWER LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMH 2014 3 BORROWER LLC,1405816,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10640751
AMB NC PROPERTIES TWO,INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES TWO LP,1742988,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14534009
AMB NC PROPERTIES TWO LP,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),AMH NC PROPERTIES TWO LP,1742988,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14534009
AMERICAN HOMES 4 RENT,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT LLC,1255234,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=9986667
AMERICAN HOMES 4 RENT LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT LLC,1255234,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=9986667
AMERICAN HOMES 4 RENT LP,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT LLC,1255234,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=9986667
AMERICAN HOMES 4 RENT NINE LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES NINE LLC,1339461,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10349212
AMERICAN HOMES 4 RENT PPTY THREE,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES THREE LLC,1300441,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10168191
AMH NC PROPERTIES LP,INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES LP,1551274,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12447597
AMH ROMAN TWO NC LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMH ROMAN TWO NC LLC,1385539,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10558766
ARP 2014 1 BORROWER LLC,INVESTOR,AMERICAN HOMES 4 RENT,ARP 2014 1 BORROWER LLC,1389907,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10576777
ARP 2014-1 BORROWER LLC,INVESTOR,AMERICAN HOMES 4 RENT,ARP 2014 1 BORROWER LLC,1389907,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10576777
"AMERICAN HOMES 4 RENT PROPERTIES ONE, LLC",INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES ONE LLC,1294225,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10143042
"AMERICAN HOMES 4 RENT PROPERTIES THREE, LLC",INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES THREE LLC,1300441,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10168191
AMERICAN HOMES 4 RENT PPTYS FIVE,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FIVE LLC,1313038,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10231604
"AMERICAN HOMES 4 RENT PROPERTIES FIVE, LLC",INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FIVE LLC,1313038,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10231604
AMERICAN HOMES 4 RENT PPTYS ONE,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES ONE LLC,1294225,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10143042
AMERICAN HOMES 4 RENT PR 1 LLC TR,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES ONE LLC,1294225,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10143042
AMH 2015-2 BORROWER LP,INVESTOR,AMERICAN HOMES 4 RENT,AMH 2015 2 BORROWER LP,1591926,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12792007
AMERICAN HOMES 4 RENT PROP,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES ONE LLC,1294225,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10143042
"AMH NC PROPERTIES TWO, LP",INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES TWO LP,1742988,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14534009
"AMERICAN HOMES INVESTMENTS NC, LP",INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES INVESTMENTS NC LP,1741961,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14537036
AMERICAN HOMES 4 RENT PROP 5,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FIVE LLC,1313038,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10231604
CPI/AMHERST SFR PROGRAM OWNER LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),CPI AMHERST SFR PROGRAM OWNER LLC,1803439,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14897494
CPI / AMHERST SFR PROGRAM OWNER LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),CPI AMHERST SFR PROGRAM OWNER LLC,1803439,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14897494
CPI/AMHERST SFR PROGRAM II OWNER LL,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),CPI AMHERST SFR PROGRAM II OWNER LLC,2182713,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=17658146
AMERICAN HOMES 4 RENT PROP & FIVE LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FIVE LLC,1313038,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10231604
AMERICAN HOMES 4 RENT PROP FIVE LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FIVE LLC,1313038,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10231604
BAF ASSETS 3 LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),BAF ASSETS 3 LLC,2192514,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=17705416
BAF 3 LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),BAF 3 LLC,1971821,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=15995425
AMERICAN HOMES 4 RENT PROP ONE,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES ONE LLC,1294225,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10143042
ARVM 5 LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),ARVM 5 LLC,1603888,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12901951
AMERICAN HOMES 4 RENT PROP ONE THREE LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES ONE LLC,1294225,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10143042
AMERICAN HOMES 4 RENT PROP ONE TR,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES ONE LLC,1294225,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10143042
AMERICAN HOMES 4 RENT PROP & THREE LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES THREE LLC,1300441,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10168191
AMERICAN HOMES 4 RENT PROPERTI,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES ONE LLC,1294225,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10143042
AMERICAN HOMES 4 RENT PROPERTIES 5 LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FIVE LLC,1313038,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10231604
AMERICAN HOMES 4 RENT PROPERTIES 9 LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES NINE LLC,1339461,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10349212
AMERICAN HOMES 4 RENT PROPERTIES FI,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FIVE LLC,1313038,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10231604
AMERICAN HOMES 4 RENT PROPERTIES FIVE,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FIVE LLC,1313038,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10231604
AMERICAN HOMES 4 RENT PROPERTIES FIVE LEGAL DEPT,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FIVE LLC,1313038,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10231604
CPI/AMHERST SFR PROGRAM II OWNER LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),CPI AMHERST SFR PROGRAM II OWNER LLC,2182713,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=17658146
RH EVERGREEN OWNERCO LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),RH EVERGREEN OWNERCO LLC,2097474,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=16917042
RH PARTNERS OWNERCO LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),RH PARTNERS OWNERCO LLC,1729445,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14450585
EPH 2 ASSETS LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),EPH 2 ASSETS LLC,1431689,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10733759
AMERICAN HOMES 4 RENT PROPERTIES FO,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FOUR LLC,1300176,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10166287
AMERICAN HOMES 4 RENT PROPERTIES FOUR LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FOUR LLC,1300176,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10166287
"AMERICAN HOMES 4 RENT PROPERTIES FOUR, LLC",INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FOUR LLC,1300176,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10166287
AMERICAN HOMES 4 RENT PROPERTIES FVE LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FIVE LLC,1313038,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10231604
AMERICAN HOMES 4 RENT PROPERTIES LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT LLC,1255234,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=9986667
BAF 1 LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),BAF 1 LLC,1764858,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14664080
BAF 2  LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),BAF 2 LLC,2188316,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=17654333
BAF ASSETS LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),BAF ASSETS LLC,1965258,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=15933172
BAF ASSETS 2 LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),BAF ASSETS 2 LLC,1497689,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12006294
AMERICAN HOMES 4 RENT PROPERTIES NI,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES NINE LLC,1339461,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10349212
AMERICAN HOMES 4 RENT PROPERTIES NINE LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES NINE LLC,1339461,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10349212
MESA VERDE ASSETS LLC,INVESTOR,AMHERST RESIDENTIAL (MAIN STREET RENEWAL),MESA VERDE ASSETS LLC,1686658,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14107166
"AMERICAN HOMES 4 RENT PROPERTIES NINE, LLC",INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES NINE LLC,1339461,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10349212
